Name,Latest Chapter,Dated Released,depth,download_timeout,download_slot,download_latency,Link,Genre,Status,Rating,img-link
Shen Yi Di Nu,Chapter 320.5,"Aug 27,20",5,180.0,manganelo.com,0.5472867488861084,https://manganelo.com/manga/shen_yi_di_nu,"Fantasy,Historical,Romance,Shoujo",Ongoing,4.71,https://avt.mkklcdnv6.com/24/t/15-1583492346.jpg
Above All Gods,Chapter 129.5,"Aug 27,20",5,180.0,manganelo.com,0.6957478523254395,https://manganelo.com/manga/xn921310,"Action,Adventure,Fantasy,Manhua",Ongoing,4.67,https://avt.mkklcdnv6.com/1/l/19-1583501047.jpg
Ao Ashi,Vol.10 Chapter 103: High Line Net,"Aug 27,20",5,180.0,manganelo.com,0.7007396221160889,https://manganelo.com/manga/pt917865,"School life,Seinen,Sports",Ongoing,4.56,https://avt.mkklcdnv6.com/24/t/17-1583496145.jpg
Ishuzoku Reviewers,Vol.5 Chapter 43,"Aug 27,20",5,180.0,manganelo.com,0.6958940029144287,https://manganelo.com/manga/ishuzoku_reviewers,"Comedy,Ecchi,Fantasy",Completed,4.55,https://avt.mkklcdnv6.com/6/t/15-1583491710.jpg
Solo Leveling,Vol.2 Chapter 116,"Aug 27,20",5,180.0,manganelo.com,0.6655826568603516,https://manganelo.com/manga/pn918005,"Action,Adventure,Fantasy,Shounen,Webtoons",,4.96,https://avt.mkklcdnv6.com/30/a/17-1583496340.jpg
Ingoshima,Chapter 108: Apocalyptical Rivalry,"Aug 27,20",5,180.0,manganelo.com,0.6795473098754883,https://manganelo.com/manga/sz919450,"Drama,Ecchi,Horror,Seinen,Smut",Ongoing,3.62,https://avt.mkklcdnv6.com/32/n/18-1583498344.jpg
Fate/type Redline,Vol.2 Chapter 6.2,"Aug 27,20",5,180.0,manganelo.com,0.6630542278289795,https://manganelo.com/manga/az921514,"Action,Fantasy,Shounen,Supernatural",Ongoing,4.84,https://avt.mkklcdnv6.com/9/d/20-1583501377.jpg
A Wicked Beast,Chapter 9,"Aug 27,20",5,180.0,manganelo.com,0.6670272350311279,https://manganelo.com/manga/di923753,"Mystery,Shounen ai,Yaoi",Ongoing,4.46,https://avt.mkklcdnv6.com/48/e/21-1597309408.jpg
Suicide Boy,Chapter 70: A Joyful Chusuk,"Aug 26,20",6,180.0,manganelo.com,0.4114222526550293,https://manganelo.com/manga/suicide_boy,"School life,Slice of life,Manhwa",Ongoing,4.55,https://avt.mkklcdnv6.com/28/n/16-1583494493.jpg
Shark Girl,Vol.2 Chapter 9: Fish Soaring High,"Aug 26,20",6,180.0,manganelo.com,0.4928123950958252,https://manganelo.com/manga/yz918981,"Comedy,Romance",Ongoing,4.81,https://avt.mkklcdnv6.com/15/f/18-1583497673.jpg
Devilchi,Chapter 49: Let Me Say This,"Aug 26,20",6,180.0,manganelo.com,0.4074704647064209,https://manganelo.com/manga/devilchi,"Comedy,Ecchi,Romance,School life,Supernatural",Ongoing,4.53,https://avt.mkklcdnv6.com/14/s/15-1583491990.jpg
Souboutei Kowasu Beshi,Vol.21 Chapter 206: Aim For The Ceiling,"Aug 27,20",5,180.0,manganelo.com,0.49582409858703613,https://manganelo.com/manga/souboutei_kowasu_beshi,"Action,Adventure,Horror,Shounen,Supernatural",Ongoing,4.34,https://avt.mkklcdnv6.com/26/f/15-1583492396.jpg
Clover Under Foot,Chapter 23,"Aug 26,20",6,180.0,manganelo.com,0.35159897804260254,https://manganelo.com/manga/mu923291,"Drama,Romance,School life,Slice of life,Webtoons",Ongoing,4.78,https://avt.mkklcdnv6.com/29/v/21-1592535877.jpg
"The Hero Who Has No Class. I Don't Need Any Skills, It's Okay.",Chapter 18,"Aug 26,20",6,180.0,manganelo.com,0.34757447242736816,https://manganelo.com/manga/ra919849,"Action,Adventure,Comedy,Fantasy,Shounen",Ongoing,4.74,https://avt.mkklcdnv6.com/47/h/18-1583498940.jpg
Doomsday Girlfriend: My Backyard Leads To Doomsday,Chapter 52: Just A Coincidence?,"Aug 27,20",6,180.0,manganelo.com,0.35106801986694336,https://manganelo.com/manga/fg923482,"Action,Adventure,Fantasy,Romance,Sci fi",Ongoing,4.39,https://avt.mkklcdnv6.com/37/n/21-1595619634.jpg
